10,5432,0
20,5590,0
30,5601,0
40,5731,0
50,6610,0
60,6651,0
70,6729,0
80,6864,0
90,7221,0
100,7303,0
110,7373,0
120,7389,0
130,7392,0
140,7476,0
150,7493,0
160,7493,0
170,7505,0
180,7520,0
190,7537,0
200,7537,0
210,7918,0
220,7987,0
230,8902,0
240,8949,0
250,9267,0
260,9269,0
270,9289,0
280,9319,0
290,9319,0
300,9326,0
310,9328,0
320,9328,0
330,9562,0
340,9735,0
350,9737,0
360,9852,0
370,9852,0
380,9852,0
390,9864,0
400,9920,0
410,13390,0
420,13408,0
430,13408,0
440,13410,0
450,13415,0
460,13520,0
470,13523,0
480,13649,0
490,13657,0
500,13678,0
510,13726,0
520,13870,0
530,13903,0
540,13906,0
550,13906,0
560,13906,0
570,13992,0
580,13992,0
590,13993,0
600,13993,0
610,13998,0
620,14026,0
630,14027,0
640,14027,0
650,14027,0
660,14027,0
670,14054,0
680,14084,0
690,14084,0
700,14087,0
710,14094,0
720,14094,0
730,14379,0
740,14395,0
750,14395,0
760,14395,0
770,14828,0
780,14924,0
790,15120,0
800,15122,0
810,15127,0
820,15129,0
830,15130,0
840,15173,0
850,15173,0
860,15177,0
870,15183,0
880,15191,0
890,15191,0
900,15209,0
910,15509,0
920,15573,0
930,15598,0
940,15633,0
950,15640,0
960,15666,0
970,15666,0
980,15678,0
990,15678,0
1000,15683,0
1010,15684,0
1020,15800,0
1030,15800,0
1040,15800,0
1050,15824,0
1060,15836,0
1070,15852,0
1080,15852,0
1090,15908,0
1100,16921,0
1110,17058,0
1120,17101,0
1130,17101,0
1140,17116,0
1150,17164,0
1160,17189,0
1170,17222,0
1180,17257,0
1190,17257,0
1200,17257,0
1210,17277,0
1220,17280,0
1230,17280,0
1240,17530,0
1250,17533,0
1260,17533,0
1270,17533,0
1280,17533,0
1290,17567,0
1300,17577,0
1310,17577,0
1320,17585,0
1330,17585,0
1340,17586,0
1350,17597,0
1360,17603,0
1370,17603,0
1380,17620,0
1390,17752,0
1400,17752,0
1410,17752,0
1420,17755,0
1430,17755,0
1440,17763,0
1450,17763,0
1460,17763,0
1470,18662,0
1480,18662,0
1490,18662,0
1500,18662,0
1510,18664,0
1520,18664,0
1530,18665,0
1540,18665,0
1550,18666,0
1560,18666,0
1570,18666,0
1580,18666,0
1590,18668,0
1600,18668,0
1610,18668,0
1620,18668,0
1630,18699,0
1640,21184,0
1650,21186,0
1660,21196,0
1670,21244,0
1680,21244,0
1690,21244,0
1700,21332,0
1710,21354,0
1720,21354,0
1730,21354,0
1740,21354,0
1750,21354,0
1760,21354,0
1770,21354,0
1780,21355,0
1790,21360,0
1800,21361,0
1810,21362,0
1820,21365,0
1830,21371,0
1840,21371,0
1850,21371,0
1860,21414,0
1870,21414,0
1880,21469,0
1890,21469,0
1900,21488,0
1910,21488,0
1920,21493,0
1930,21505,0
1940,21505,0
1950,21703,0
1960,21719,0
1970,21719,0
1980,21719,0
1990,21720,0
2000,21720,0
2010,29019,0
